pathway,pval,padj,log2err,ES,NES,size,leadingEdge,pathway_clean
HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.77900678484571e-21,8.71713324574395e-20,1.19534448258848,0.611718273850333,1.96053084596058,193,PTPRE;SDC4;LAMB3;ICAM1;SERPINB8;DRAM1;TIPARP;B4GALT5;TNC;LDLR;PFKFB3;TSC22D1;RIPK2;PLAUR;MAFF;TGIF1;BHLHE40;FOSL2;CSF2;NAMPT;PTGS2;SLC2A3;LIF;BTG3;CLCF1;PLAU;BIRC2;MYC;MCL1;AREG;INHBA;CFLAR;GADD45A;RELB;HBEGF;CXCL2;RELA;IFIT2;G0S2;PMEPA1;ABCA1;IER3;KLF4;IL23A;TNFSF9;IL6ST;ZBTB10;SPHK1;IFIH1;REL;PTGER4;NFKB2;STAT5A;IRS2;TANK;F2RL1;CXCL3;ZC3H12A;TRIP10;ATP2B1;KLF6;CCL20;B4GALT1;SMAD3;TAP1;DUSP2;TNFAIP6;NFKB1;BIRC3;IFNGR2;RNF19B;PLK2;YRDC;TNIP1;ETS2;BCL3;BCL6;SPSB1;PHLDA2;JAG1;CSF1;SERPINE1;OLR1;IER5;NFAT5;NFKBIE;KDM6B;MAP2K3;FUT4;EFNA1;LITAF;IL18;PPP1R15A;EIF1;GCH1;KLF10;CXCL1;BTG1;F3;PANX1;ATF3;TRIB1;SAT1;EDN1;DENND5A;CDKN1A;NFIL3;IL7R;IL15RA;CEBPB;NR4A2;IL6;JUNB;EGR3;SERPINB2;SOCS3;GPR183;PLEK;BCL2A1;ID2;CD83;CD69;ICOSLG;GEM;TLR2, TNFA SIGNALING VIA NFKB
HALLMARK_MITOTIC_SPINDLE,7.32282034345956e-20,1.79409098414759e-18,1.15122052214226,0.599876808271361,1.92323737354181,195,FLNA;LLGL1;MYH10;CDC42EP1;RASA1;DST;ARF6;SEPTIN9;WASF1;NOTCH2;ABR;TIAM1;GSN;SYNPO;ROCK1;ARHGAP10;CTTN;RAPGEF5;BRCA2;CLIP2;KIF23;ACTN4;RASAL2;CDK5RAP2;ANLN;MYO1E;KNTC1;MAP1S;ABI1;FARP1;VCL;MYH9;NIN;RANBP9;CKAP5;AKAP13;SPTAN1;KIF4A;ECT2;ARFGEF1;MID1IP1;KIF5B;CNTRL;SMC4;NET1;CD2AP;PCM1;PKD2;RASA2;SUN2;DLGAP5;NEDD9;ARHGEF2;CDC42BPA;CDC42;CDC42EP4;MYO9B;EZR;ALMS1;TOP2A;HOOK3;TRIO;WASF2;ITSN1;NCK2;STK38L;BUB1;ARHGAP29;DYNC1H1;PXN;SHROOM2;KIF1B;RACGAP1;KIFAP3;PALLD;SMC3;PLEKHG2;KIF3C;LMNB1;ARHGEF12;CENPF;RAB3GAP1;RALBP1;KIF11;LATS1;RICTOR;KIF20B;NUMA1;CLASP1;CEP192;PPP4R2;MAP3K11;TUBA4A;WASL;CSNK1D;ARHGDIA;EPB41L2;PCNT;TLK1;NF1;TUBGCP3;DOCK4;ARHGAP27;TPX2;ALS2;MARK4;ABL1;KATNA1;KIF15;NEK2;SMC1A;TTK;CENPE;CEP57;NDC80;FLNB;FBXO5;ARHGAP5;CCNB2;LRPPRC;BCAR1;FGD4;RFC1;ARL8A;BCR;KIF2C;HDAC6;ESPL1;PAFAH1B1;DOCK2;SOS1;CNTROB;BCL2L11;KATNB1;NCK1;RAPGEF6;BIRC5;CYTH2;RABGAP1;PDLIM5;SHROOM1;TUBGCP6;SASS6;CDK1;CDC27;PLK1;SSH2;GEMIN4;STAU1;TAOK2, MITOTIC SPINDLE
HALLMARK_G2M_CHECKPOINT,2.67339168364416e-19,4.36653974995213e-18,1.13308993200902,0.596312445717696,1.91115582717703,193,RAD23B;NOTCH2;HIF1A;HMGA1;TMPO;DMD;PLK4;BRCA2;SLC12A2;DR1;MYC;KIF23;RASAL2;MCM6;FOXN3;KPNA2;ODC1;MCM5;CDC25B;MCM2;SMARCC1;KIF4A;KNL1;PRIM2;KIF5B;SMC4;CKS1B;TOP1;MCM3;CDC7;NCL;SMC2;TOP2A;WRN;NUP98;MAP3K20;G3BP1;STMN1;BARD1;CHEK1;BUB1;SMAD3;TGFB1;RACGAP1;ARID4A;CASP8AP2;PDS5B;HNRNPU;LBR;POLE;MKI67;LMNB1;UPF1;CENPF;BCL3;KIF11;DBF4;STIL;TENT4A;ILF3;CUL3;MAD2L1;ATRX;SLC7A1;CCNA2;ORC6;KIF20B;CHAF1A;NUMA1;JPT1;BUB3;SNRPD1;HMMR;CDC45;PML;STAG1;XPO1;DKC1;SFPQ;SS18;CUL1;KPNB1;CCNT1;MAPK14;EZH2;CDK4;EXO1;ODF2;HSPA8;E2F3;TPX2;ABL1;KATNA1;POLQ;KIF15;RAD21;NEK2;SMC1A;TTK;CENPE;PBK;CTCF;NDC80;CDC6;FBXO5;RBL1;CCNB2;NASP;CUL5;CUL4A;UBE2C;HNRNPD;YTHDC1;TNPO2;AURKB;KIF2C;HUS1;HMGB3;RBM14;ESPL1;PAFAH1B1;MTF2;GSPT1;CENPA;CKS2;SRSF10;EFNA5;EWSR1;SYNCRIP;TRA2B;PRMT5;BIRC5;PURA;RAD54L;E2F4;E2F1;MNAT1;LIG3;NUP50;CDK1;CDC27;AMD1;CDKN3;SRSF1;PLK1, G2M CHECKPOINT
HALLMARK_INTERFERON_GAMMA_RESPONSE,4.84430267814368e-17,5.934270780726e-16,1.06720998682811,0.580314389740543,1.86051920555037,195,ICAM1;NOD1;PELI1;FAS;RIPK2;IRF5;PARP14;LY6E;IL4R;UPP1;ST8SIA4;STAT1;MVP;DDX60;HIF1A;CFH;NAMPT;PTGS2;MYD88;ISOC1;PLSCR1;TRIM14;ARID5B;SP110;STAT3;OAS3;HERC6;IFIT2;CASP8;CASP3;APOL6;PLA2G4A;ST3GAL5;PNP;ADAR;STAT4;IFIH1;HLA-G;ZNFX1;TRIM21;AUTS2;RNF213;STAT2;IFIT3;ITGB7;SAMHD1;CFB;SAMD9L;WARS1;RSAD2;FPR1;PTPN2;TAP1;HELZ2;SSPN;CASP7;TNFAIP6;NFKB1;UBE2L6;CD40;EIF2AK2;NMI;EPSTI1;PARP12;SERPING1;TDRD7;EIF4E3;IFNAR2;PSMB8;BPGM;CSF2RB;PTPN1;SELP;CD86;PML;IL2RB;HLA-DQA1;GCH1;BTG1;RBCK1;HLA-B;NCOA3;NUP93;MX2;CDKN1A;CMPK2;IL7;LAP3;IL15RA;IFI44;MX1;OASL;HLA-DRB1;B2M;IL6;JAK2;SPPL2A;MARCHF1;SOCS3;CMTR1;PSMB2;CIITA;PNPT1;NLRC5;CD69;USP18;IRF2;IFIT1;FGL2;HLA-A;SOD2;CCL7;CMKLR1;PSME1;CD74;CCL2;TRAFD1;SRI;TOR1B;OAS2;TNFAIP3;RIPK1;RAPGEF6;SECTM1;TRIM26;IRF7;VCAM1;PSMB10;VAMP8;LCP2;PTPN6;PSMB9;IRF9;TXNIP, INTERFERON GAMMA RESPONSE
HALLMARK_E2F_TARGETS,7.96144295810492e-17,7.80221409894283e-16,1.05746357275086,0.573645598979333,1.83963317064381,198,DNMT1;MCM4;HMGA1;MMS22L;TMPO;PLK4;BRCA2;MYC;DONSON;MCM6;KPNA2;NAP1L1;ATAD2;TRIP13;MCM5;CDC25B;POLD1;MCM2;SLBP;DCLRE1B;KIF4A;RFC3;PRIM2;IPO7;SMC4;DIAPH3;HELLS;CKS1B;MCM3;SMC6;CTPS1;MSH2;USP1;PSIP1;CHEK2;DLGAP5;PRKDC;MCM7;ZW10;MELK;NUP205;CSE1L;TOP2A;POLD3;GINS4;GINS1;WEE1;TP53;STMN1;NBN;BARD1;CHEK1;RAD1;NUP107;RACGAP1;XRCC6;ANP32E;NUDT21;PDS5B;SMC3;LBR;POLE;MKI67;LMNB1;MRE11;LIG1;PPP1R8;RAN;RAD51AP1;DCK;ASF1B;PCNA;ILF3;RRM2;TUBB;MAD2L1;ORC6;NCAPD2;BUB1B;PPM1D;TCF19;JPT1;CDCA8;HMMR;STAG1;XPO1;RFC2;RPA1;RAD50;RANBP1;EZH2;RBBP7;DSCC1;CDK4;BRMS1L;CDKN1A;DEK;E2F8;RAD21;SMC1A;HMGB2;CENPE;TIMELESS;CTCF;LYAR;NUP153;CCNB2;SSRP1;NASP;UBE2T;HNRNPD;EED;RFC1;SPC24;AURKB;EXOSC8;KIF2C;HUS1;HMGB3;ESPL1;CDKN2A;CCP110;UBR7;KIF18B;GSPT1;CKS2;EIF2S1;SPC25;SYNCRIP;TRA2B;BIRC5;TK1;PNN;GINS3;PSMC3IP;CNOT9;ING3;PHF5A;CDK1;CDKN3;SRSF1;PLK1;DEPDC1;RPA2;PRDX4, E2F TARGETS
HALLMARK_APICAL_JUNCTION,1.46469029637904e-16,1.19616374204288e-15,1.04762648849882,0.585912649866718,1.87243532924175,181,SDC3;LAMB3;ICAM1;ACTN1;SLIT2;MSN;MYH10;CD276;ITGB4;CDH3;RASA1;AMIGO2;GRB7;ITGA3;MPZL2;ITGA2;PCDH1;NECTIN4;EGFR;ZYX;ICAM5;BAIAP2;SGCE;CDH6;BMP1;NECTIN1;VASP;CLDN4;CDH11;DSC3;YWHAH;SKAP2;CDSN;MDK;ACTN4;ARPC2;SRC;CAP1;PARVA;ALOX15B;AKT3;VCL;NLGN2;CTNNA1;MYH9;MAPK13;SIRPA;TJP1;GNAI2;ACTG1;RAC2;ADAM15;SHC1;ITGA9;LIMA1;MAP3K20;CLDN7;B4GALT1;CDH4;MYL12B;COL16A1;VCAN;SHROOM2;EXOC4;CX3CL1;ADRA1B;CRB3;CD86;PBX2;WASL;DHX16;EPB41L2;PTK2;CADM3;MAPK14;NF1;CLDN9;ADAM9;MMP2;VAV2;JUP;PIK3CB;CNN2;CDH15;SYMPK;CLDN6;MPZL1;ACTB;LAMA3;TIAL1;RSU1;NECTIN2;PTEN;TGFBI;PTPRC;RRAS;SLC30A3;GTF2F1;FBN1;STX4;INSIG1;PLCG1;CDH1;PKD1;CTNND1, APICAL JUNCTION
HALLMARK_INFLAMMATORY_RESPONSE,7.42282066586468e-15,5.19597446610528e-14,0.986546283587582,0.572360065425347,1.83268990875259,189,PTPRE;AHR;ITGB8;ICAM1;MET;SGMS2;CD55;LDLR;OSMR;LYN;RIPK2;PLAUR;LY6E;IL4R;HRH1;CHST2;HIF1A;DCBLD2;IRAK2;NAMPT;TNFSF15;LIF;TIMP1;MYC;INHBA;KCNJ2;HBEGF;RELA;CXCL8;ABI1;MMP14;CLEC5A;TNFRSF1B;ABCA1;SCN1B;EBI3;TPBG;TNFSF9;SPHK1;IL1R1;PTGER4;EREG;SLC7A2;LAMP3;PTAFR;ATP2B1;P2RY2;PSEN1;FPR1;HAS2;KLF6;CCL20;IL18R1;KIF1B;GNA15;SELL;TNFAIP6;IFNAR1;ATP2C1;NFKB1;IFNGR2;MARCO;CD40;EMP3;EIF2AK2;NMI;NLRP3;AQP9;BEST1;CD82;CX3CL1;CSF1;CCL17;GNAI3;RHOG;C5AR1;SERPINE1;CCL22;OLR1;SLC7A1;ACVR2A;CYBB;PTGER2;IL2RB;CD70;MSR1;IL18;RASGRP1;GCH1;F3;ADORA2B;P2RX7;OSM;EDN1;HPN;CDKN1A;IL7R;IL15RA;RAF1;PIK3R5;IL6;NOD2;RGS1;GPR183;PVR;GABBR1;C3AR1;CD69;ICOSLG;TLR1;TLR2;CCL7;ITGB3;IFITM1;PDPN;CMKLR1;CCL2;SRI, INFLAMMATORY RESPONSE
HALLMARK_MYC_TARGETS_V1,6.57041281037112e-14,4.02437784635231e-13,0.954541630725724,0.549751996977651,1.7630083993797,198,RAD23B;MCM4;CBX3;PABPC1;MYC;PRPS2;MCM6;KPNA2;UBA2;CAD;NAP1L1;PABPC4;CDK2;HNRNPA1;ODC1;MCM5;RRM1;MCM2;EEF1B2;SMARCC1;HNRNPC;SRPK1;LDHA;EPRS1;NPM1;CTPS1;HDAC2;AP3S1;USP1;MCM7;SF3B3;DDX21;RRP9;HSP90AB1;SET;ABCE1;G3BP1;MRPL9;IMPDH2;GNL3;CSTF2;EIF3D;APEX1;XRCC6;EIF2S2;TCP1;HDGF;HNRNPU;PSMD1;HNRNPR;DHX15;RAN;SF3A1;YWHAQ;RPLP0;DDX18;RFC4;CCT4;UBE2E1;PCNA;SERBP1;CCT2;MAD2L1;CNBP;CCNA2;VBP1;BUB3;SNRPD1;NCBP2;PSMC6;CDC45;XPO1;ILF2;PTGES3;RANBP1;CUL1;KPNB1;SSB;HSPD1;POLE3;IARS1;CDK4;RSL1D1;CCT5;RACK1;PWP1;CCT7;RPS2;PSMD14;DEK;PSMD7;ETF1;VDAC1;NCBP1;EIF4G2;PPM1G;SRSF7;RPS5;HNRNPD;KARS1;CCT3;SRSF3;FAM120A;PSMB2;EIF4H;HNRNPA2B1;RPL14;RPS3;RNPS1;EIF3B;GSPT1;SRM;EIF2S1;EIF3J;SNRPB2;HPRT1;EIF4A1;PSMD8;EIF1AX;SYNCRIP;TRA2B, MYC TARGETS V1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,4.67237182655084e-13,2.54384688334435e-12,0.921426003494898,0.551444920561927,1.76532106519031,188,QSOX1;SDC4;FLNA;TNC;COL8A2;FAS;SLIT2;PDLIM4;DST;ITGA2;FSTL3;TNFRSF12A;PLAUR;NOTCH2;FGF2;CDH6;BMP1;LAMA1;CDH11;TIMP1;LOX;TPM4;BASP1;AREG;INHBA;LAMC1;LRP1;NT5E;MXRA5;GADD45A;TGM2;CXCL8;MMP14;CRLF1;PMEPA1;COMP;CADM1;FBN2;PRSS2;LGALS1;BDNF;LOXL1;CALD1;MCM7;COLGALT1;ITGAV;WNT5A;CALU;SERPINH1;FERMT2;WIPF1;COL7A1;RGS4;CTHRC1;CD59;TGFB1;COL16A1;VCAN;THBS1;SGCB;FUCA1;FSTL1;FAP;EMP3;ITGB5;THBS2;FBLN2;SPARC;DPYSL3;COL3A1;SERPINE1;SPOCK1;NID2;COL12A1;NNMT;CXCL1;ANPEP;OXTR;GJA1;COL5A1;SAT1;MMP2;TPM1;P3H1;IL6;MATN3;COPA;LAMA3;COL6A3;PLOD2;PVR;ADAM12;FOXC2;TGFBI;ID2;SPP1;GEM;SFRP4;FBN1;COL5A2;CAPG;GLIPR1;ITGB3;COL11A1;TNFAIP3;SLIT3;SERPINE2;IGFBP2;VCAM1;POSTN;SNTB1;LOXL2;EFEMP2;MMP1;COL6A2;CCN2;DAB2, EPITHELIAL MESENCHYMAL TRANSITION
HALLMARK_P53_PATHWAY,7.02421245721691e-12,3.44186410403629e-11,0.887074988399873,0.534718258923787,1.71456942403317,196,PTPRE;DRAM1;FAS;EPHA2;ITGB4;TSC22D1;TGFA;PLK3;ZFP36L1;PERP;INHBB;VWA5A;RAP2B;ZMAT3;BAIAP2;UPP1;PTPN14;CDKN2B;MAPKAPK3;LIF;TM4SF1;S100A10;SFN;PLXNB2;GADD45A;ALOX15B;HBEGF;CSRNP2;TPD52L1;DDB2;ST14;S100A4;PRMT2;CCND3;SLC3A2;IER3;POLH;KRT17;KLF4;TNFSF9;SPHK1;XPC;KIF13B;DGKA;TNNI1;STOM;TP63;ZNF365;TP53;APAF1;FOXO3;TAP1;TGFB1;SP1;FUCA1;EI24;RNF19B;PLK2;CDK5R1;CD82;HEXIM1;PCNA;CCND2;DDIT4;PPM1D;IER5;CCNG1;TM7SF3;HMOX1;DNTTIP2;PHLDA3;CCNK;PPP1R15A;BTG1;ATF3;SAT1;PDGFA;RACK1;BAX;CDKN2AIP;CDKN1A;RPS12;APP;PMM1;VDR;NDRG1;EPS8L2;ERCC5;NOL8;GLS2;F2R;CDKN2A;CCP110;PROCR;CYFIP2;TCN2;PRKAB1;POM121;RHBDF2;ABHD4;NUDT15;ELP1;TRAFD1;RB1;IP6K2;MKNK2;TSPYL2;WRAP73;TRAF4;CTSF;SEC61A1;IL1A;MDM2;TAX1BP3;VAMP8;SLC19A2;SERPINB5;TXNIP;ANKRA2;JAG2;CTSD, P53 PATHWAY
